code_name,exp,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,HOMO-LUMO gap_GFN,HOMO_GFN,LUMO_GFN,Dipole module_GFN,Total energy,Total disp. C6,Total disp. C8,Dispersion area,Dispersion volume,Chem. potential,Electrodon. power idx,Electroaccep. power idx,max. electron flow,Electrodon. Chem. potential,Electrodon. max. electron flow,Electrofugality,Nucleofugality,Intrinsic React. idx,Net Electrophilicity,Hyperhardness,Hypersoftness,Electrophilic descrip.,cub. electrophilicity idx,G solv. elec.,G solv. SASA,G solv. shift,Trans. dipole moment,HOMO occup.,LUMO occup.
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,8.9182,-7.9643,0.9539,6.6679,-0.274,4.4927,0.0,567.9281,-9.5582,-1.032,-7.9988,248.0447,0.2048,6.9419,0.1441,3.197,0.7362000000000001,1.4271,10.1431,5.7983,83.4928,3.0263,-9.512,-6.4856,5.0571,-67.6893,25209.6695,623060.1459,410.6636,415.3268,-3.197,0.6155,7.0093,0.7105,-4.9325,0.7105,1.0102,7.4041,0.921,-6.3939,4.7738,0.0143,1.3367,0.9334,-6.2127,-2.9918,0.6782,1.3601,2.0,0.0
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,9.0517,-8.763,0.2887,6.9103,0.3073,9.26,0.0,659.111,-33.8603,-7.8781,-8.5457,327.4224,0.3072,6.603,0.1515,3.6088,0.9877,1.1944,10.3229,6.4514,75.9986,2.6555,-9.8734,-7.218,8.4192,-101.2295,44854.4563,1140610.9598,513.0217,548.689,-3.6088,1.1673,8.3849,0.7969,-5.2596,0.7969,0.6804,7.898,1.0938,-7.2176,4.7783,0.0167,1.27,1.1682,-29.8601,3.1997,0.6782,2.9997,2.0,0.0
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,9.8165,-8.7008,1.1157,7.3242,-0.1055,2.6846,0.0,504.3972,-7.2513,-1.6326,-8.2641,220.3848,0.2074,7.4297,0.1346,3.6094,0.8772000000000001,1.2436,11.2499,5.7508,85.5225,2.9851,-9.7567,-6.7716,2.877,-61.2845,19788.4218,531892.9731,363.4751,367.6133,-3.6094,0.8280000000000001,8.0467,0.7359,-5.4668,0.7359,0.9826,8.2014,0.9717,-7.2188,4.891,0.0119,1.3847,1.0787,-7.0448,0.7479,0.6782,2.7393,2.0,0.0
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,9.267,-8.5645,0.7025,7.2919,0.4396,3.1955,0.0,628.2927,-18.9159,-8.2663,-8.7301,273.4601,0.2368,6.8524,0.1459,3.8658,1.0912,1.1015,10.4496,6.6673,81.8996,3.2826,-10.3713,-7.0888,4.4034,-82.7491,30855.77,812095.9426,447.1983,453.277,-3.8658,1.3554,9.0869,0.8142,-5.5788,0.8142,0.6516000000000001,8.3831,1.1285,-7.7315,4.6927,0.0146,1.4463,1.2937,-13.1561,1.8283,0.6782,4.1628,2.0,0.0
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,9.65,-9.367,0.283,7.6101,0.0638,3.8455,0.0,645.6542,-17.5775,-3.1581,-8.8008,274.7356,0.1738,7.5462,0.1325,3.8369,0.9756,1.152,10.9092,6.0469,88.5084,3.5934,-10.5976,-7.0041,3.8247,-81.4996,31979.0456,739877.1883,489.7774,493.2568,-3.8369,1.0089,8.6828,0.7585000000000001,-5.7235,0.7585000000000001,0.9118,8.5857,1.017,-7.6739,4.6411,0.0108,1.6056,1.2141,-11.2853,-3.8123,0.6782,2.5955,2.0,0.0
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,8.6238,-8.5303,0.0935,6.8138000000000005,-0.1229,2.0661,0.0,556.8792,-6.8409,-2.9864,-8.1905,233.6704,0.2,6.9367,0.1442,3.3455,0.8069000000000001,1.3442,10.4147,5.2763,75.0326,2.592,-9.4865,-6.8945,1.8035,-62.6182,22327.9345,538464.7802,396.8699,395.3355,-3.3455,0.7491,7.4401,0.7323000000000001,-5.0796,0.7323000000000001,0.9297,7.6207,0.9646,-6.6909,4.5,0.0135,1.3064,0.9983,-2.7911,-1.7416,0.6782,6.5033,2.0,0.0
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,8.5748,-8.1622,0.4126,6.7371,0.1014,9.3806,0.0,727.6004,-33.6371,-9.2337,-8.117,340.2737,0.2949,6.6356,0.1508,3.4192,0.8817,1.288,10.1715,6.357,80.1353,2.3317,-9.2829,-6.9512,8.6172,-107.7319,49305.7324,1177265.7826,561.5173,588.0731,-3.4192,0.9368,7.7753,0.7654000000000001,-5.0781,0.7654000000000001,0.7802,7.6187,1.0308,-6.8385,4.845,0.0166,1.2614,1.065,-27.507,2.4254,0.6782,4.1921,2.0,0.0
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,9.1244,-8.319,0.8054,6.804,0.3591,5.8928,0.0,734.1492,-24.5466,-8.4076,-8.4492,337.2889,0.3306,6.4449,0.1552,3.5815,0.9953,1.1952,9.9036,6.862,82.7143,2.584,-9.7412,-7.1572,5.5927,-100.4694,46938.8008,1191268.5626,566.524,575.9914,-3.5815,1.2053,8.3684,0.8058000000000001,-5.1928,0.8058000000000001,0.6362,7.7993,1.1116,-7.1631,4.8013,0.018,1.3125,1.1814,-16.7199,-0.0973,0.6782,2.421,2.0,0.0
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,8.9771,-8.5147,0.4623,7.1026,0.0788,4.0664,0.0,533.717,-11.1738,-2.0691,-8.598700000000001,215.3712,0.2799,7.0238,0.1424,3.5907,0.9182,1.2289,10.822,5.532,68.8584,2.7525,-9.975,-7.2225,3.9465,-67.0257,18949.0258,456177.2916,369.5914,364.186,-3.5907,0.9601,8.1415,0.7613000000000001,-5.3466000000000005,0.7613000000000001,0.8394,8.0208,1.0226,-7.1814,4.5863,0.0132,1.312,1.1084,-10.6025,0.8196,0.6782,3.3348,2.0,0.0
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,9.6418,-8.614,1.0278,7.748,0.386,2.3748,0.0,378.9856,-9.1001,-5.1345,-8.9852,160.3712,0.2643,7.362,0.1358,4.067,1.1234,1.0547,12.0053,5.6977,70.3416,2.9425,-10.4564,-7.514,2.095,-40.8801,9849.9096,297176.1006,247.9481,242.7713,-4.067,1.3468,9.4808,0.8024,-5.9075,0.8024,0.7374,8.8714,1.1048,-8.134,4.7844,0.012,1.3074,1.3024,-4.2592,-0.3846,0.6782,4.4175,2.0,0.0
CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,8.3874,-8.6119,-0.2244,6.9658,0.3457,6.2356,0.0,659.3261,-22.2295,-5.8517,-8.4021,279.5213,0.2478,6.62,0.1511,3.6557,1.0095,1.1737,10.217,6.1245,76.1314,2.4327,-9.6185,-7.1858,6.1205,-81.2111,32470.6363,810504.6812,475.2566,472.2411,-3.6557,1.2099,8.5214,0.8023,-5.3108,0.8023,0.6638000000000001,7.9753,1.1045,-7.3115,4.515,0.0156,1.3238,1.1982,-18.2622,1.2063,0.6782,5.7779,2.0,0.0
CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,7.5179,-7.5236,-0.0056,6.973,0.4614,7.846999999999999,0.0,590.2542,-21.7581,-4.4232,-8.4852,239.1739,0.4729,6.5115,0.1536,3.7172,1.0613,1.1398,10.7647,6.3025,58.6857,2.2894,-9.6299,-7.3405,8.094,-73.1828,23763.7658,564463.6663,415.8812,407.1718,-3.7172,1.3421,8.7765,0.8210000000000001,-5.3451,0.8210000000000001,0.5999,8.0343,1.1419,-7.4344,4.8164,0.0175,1.1583,1.2167,-11.0272,-6.9859,0.6782,3.5913,2.0,0.0
CHEMBL276218,-0.08,O=C1CCCCCN1,12.3849,-9.6822,2.7027,8.792,-3.3085,4.497,0.0,277.7485,-8.8673,-2.1788,-7.94,80.554,0.0146,12.1005,0.0827,2.7417,0.3106,1.8193,14.1739,-1.329,127.0543,5.03,-10.455,-5.425,4.628,-25.4675,2934.6549,63645.8598,177.5708,163.5377,-2.7417,0.0134,5.497,0.4766,-5.7669,0.4766,3.6191,9.1027,0.4532,-5.4836,3.6807,0.002,3.3456,0.5798,-8.1227,0.756,0.6782,0.75,2.0,0.0
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,9.8659,-9.3051,0.5608000000000001,7.2331,0.0598,4.9059,0.0,531.2906,-12.3827,-1.729,-8.5449,239.8463,0.3174,7.1733,0.1394,3.6464,0.9274,1.2126,11.0857,5.578,75.477,2.8377,-9.9637,-7.126,4.719,-65.3617,23628.0998,593475.6349,400.3829,408.9699,-3.6464,0.9599,8.2527,0.7585000000000001,-5.4397,0.7585000000000001,0.8676,8.1605,1.017,-7.2928,4.6855,0.0127,1.3265,1.1189,-9.8977,-1.4342,0.6782,0.8866,2.0,0.0
CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,9.1608,-9.2435,-0.0827,7.4523,0.1859,6.1034,0.0,657.1032,-25.2163,-3.7587,-8.6923,324.6818,0.2076,7.2664,0.1376,3.8191,1.0038,1.144,10.6905,6.1008,85.1417,3.3847,-10.3847,-7.0,5.7483,-92.8661,43580.182,1065172.7786,513.7952,540.2595,-3.8191,1.1043,8.7425,0.7756000000000001,-5.6357,0.7756000000000001,0.8179000000000001,8.4561,1.0512,-7.6382,4.5766,0.0119,1.5379,1.2292,-21.7516,-0.3842,0.6782,2.834,2.0,0.0
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,8.1039,-7.812,0.2919,7.0033,0.2111,2.9068,0.0,430.1111,-13.619,-6.1438,-8.5031,176.3099,0.2874,6.7922,0.1472,3.6072,0.9579,1.2066,11.0927,5.5861,62.0338,2.5538,-9.78,-7.2262,3.212,-46.1084,11993.1032,325885.8104,282.8621,274.9822,-3.6072,1.0732,8.2876,0.7811,-5.3053,0.7811,0.7468,7.9612,1.0622,-7.2144,4.7322,0.0151,1.166,1.116,-7.1077,-1.0458,0.6782,7.577,2.0,0.0
CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,9.48,-7.8834,1.5966,6.786,-0.5157,4.6998,0.0,639.8711,-18.2594,-2.8998,-7.8457,269.1487,0.1612,7.3018,0.137,3.1351,0.6734,1.4846,10.2296,5.5636,87.218,3.1563,-9.4238,-6.2675,4.7261,-83.1718,31507.2984,719631.411,474.5056,486.8752,-3.1351,0.4711,6.7414000000000005,0.6794,-4.9606,0.6794,1.1891,7.4594,0.8588,-6.2703,4.7614,0.0122,1.4608,0.8886000000000001,-13.5106,-2.5271,0.6782,2.9118,2.0,0.0
